Rank,Name,Team,Position,Played,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Patrick Mahomes,KC,QB,9,210,317,66.2,2901,9.2,29,7,116.71,32,137,4.3,2,30.5,274.74
2,Matt Ryan,ATL,QB,8,213,301,70.8,2685,8.9,19,3,115.11,16,67,4.2,2,27.1,217.1
3,Jared Goff,LAR,QB,9,199,293,67.9,2816,9.6,20,6,112.95,28,79,2.8,0,23.9,215.54
4,Deshaun Watson,HOU,QB,9,185,285,64.9,2389,8.4,17,7,100.75,50,268,5.4,1,22.2,199.36
5,Cam Newton,CAR,QB,8,177,263,67.3,1893,7.2,15,4,100.83,73,342,4.7,4,24.6,196.92
6,Kirk Cousins,MIN,QB,9,259,363,71.3,2685,7.4,17,5,102.23,27,81,3,1,21.7,195.4
7,Drew Brees,NO,QB,8,213,279,76.3,2336,8.4,18,1,120.6,18,25,1.4,2,24.3,194.04
8,Ben Roethlisberger,PIT,QB,8,222,344,64.5,2560,7.4,16,7,93.9,17,48,2.8,2,24.1,193.1
9,Andrew Luck,IND,QB,8,225,342,65.8,2187,6.4,23,8,96.22,16,63,3.9,0,24.1,192.78
10,Mitch Trubisky,CHI,QB,8,167,260,64.2,1949,7.5,16,7,96.14,38,302,7.9,2,23,184.16
11,Tom Brady,NE,QB,9,221,330,67,2494,7.6,17,7,97.71,18,28,1.6,2,20.3,182.56
12,Aaron Rodgers,GB,QB,8,198,327,60.6,2542,7.8,15,1,98.95,22,124,5.6,0,22.3,178.08
13,Philip Rivers,LAC,QB,8,165,246,67.1,2236,9.1,19,3,116.51,11,-1,-0.1,0,21.9,175.34
14,Ryan Fitzpatrick,TB,QB,6,122,184,66.3,1793,9.7,17,7,112.88,24,103,4.3,1,26.7,160.02
15,Andy Dalton,CIN,QB,8,185,292,63.4,2102,7.2,17,8,92.87,11,41,3.7,0,19.3,154.18
16,Blake Bortles,JAX,QB,8,175,290,60.3,2021,7,10,8,81.41,40,261,6.5,1,18.9,150.94
17,Joe Flacco,BAL,QB,9,232,379,61.2,2465,6.5,12,6,84.15,19,45,2.4,0,16.7,150.1
18,Russell Wilson,SEA,QB,8,146,221,66.1,1791,8.1,18,5,108.63,24,118,4.9,0,18.7,149.44
19,Case Keenum,DEN,QB,9,210,330,63.6,2400,7.3,11,10,83.9,9,35,3.9,1,16.4,147.5
20,Matthew Stafford,DET,QB,8,196,289,67.8,2111,7.3,14,6,96.53,16,49,3.1,0,18.2,145.34
21,Derek Carr,OAK,QB,8,204,282,72.3,2198,7.8,10,8,94.84,16,41,2.6,1,17.4,139.02
22,Dak Prescott,DAL,QB,8,149,237,62.9,1660,7,10,5,88.93,42,247,5.9,2,17,136.1
23,Carson Wentz,PHI,QB,6,159,225,70.7,1788,7.9,13,2,109.64,21,89,4.2,0,22.6,135.82
24,Eli Manning,NYG,QB,8,215,315,68.3,2377,7.5,8,6,90.93,11,19,1.7,0,16.7,133.98
25,Alex Smith,WAS,QB,8,174,274,63.5,1867,6.8,9,3,89.78,35,119,3.4,1,15.9,127.58
26,Sam Darnold,NYJ,QB,9,159,289,55,1934,6.7,11,14,68.32,30,61,2,1,13.5,121.46
27,Baker Mayfield,CLE,QB,7,159,265,60,1768,6.7,10,7,81.45,15,91,6.1,0,16.8,117.82
28,Marcus Mariota,TEN,QB,7,120,179,67,1270,7.1,5,5,85.18,41,217,5.3,2,14.4,100.5
29,CJ Beathard,SF,QB,6,102,169,60.4,1252,7.4,8,7,81.77,19,69,3.6,1,14.7,87.98
30,Jameis Winston,TB,QB,4,96,148,64.9,1181,8,6,10,74.75,19,109,5.7,1,20.8,83.14
31,Ryan Tannehill,MIA,QB,5,85,129,65.9,972,7.5,8,5,92.91,19,91,4.8,0,14.4,71.98
32,Brock Osweiler,MIA,QB,5,90,141,63.8,1034,7.3,6,3,91.15,7,21,3,0,13.9,69.46
33,Josh Allen,BUF,QB,6,75,139,54,832,6,2,5,61.8,35,155,4.4,3,11.5,68.78
34,Josh Rosen,ARI,QB,6,94,169,55.6,1072,6.3,5,6,69.93,9,48,5.3,0,10.3,61.68
35,Jimmy Garoppolo,SF,QB,3,53,89,59.6,718,8.1,5,3,90,8,33,4.1,0,17,51.02
36,Tyrod Taylor,CLE,QB,4,42,85,49.4,473,5.6,2,2,64.49,16,125,7.8,1,10.9,43.42
37,Lamar Jackson,BAL,QB,9,7,12,58.3,87,7.2,1,0,108.68,28,139,5,1,3,27.38
38,Nick Foles,PHI,QB,2,54,82,65.9,451,5.5,1,1,78.86,4,7,1.8,0,13.1,26.24
39,Taysom Hill,NO,QB,8,2,3,66.7,54,18,0,0,109.72,23,133,5.8,1,2.8,22.56
40,Nick Mullens,SF,QB,1,16,22,72.7,262,11.9,3,0,151.89,4,-3,-0.8,0,22.2,22.18
41,Nathan Peterman,BUF,QB,4,44,81,54.3,297,3.7,1,7,30.74,10,49,4.9,1,4.9,19.78
42,Sam Bradford,ARI,QB,3,50,80,62.5,400,5,2,4,62.5,2,7,3.5,0,6.2,18.7
43,Blaine Gabbert,TEN,QB,3,25,45,55.6,242,5.4,1,1,68.94,2,2,1,0,4.3,12.88
44,Derek Anderson,BUF,QB,2,42,70,60,465,6.6,0,4,55.95,1,-1,-1,0,6.2,12.5
45,Cody Kessler,JAX,QB,1,21,30,70,156,5.2,1,1,79.31,2,8,4,0,10,10.04
46,Jeff Driskel,CIN,QB,1,4,4,100,39,9.8,0,0,107.29,1,5,5,0,2.1,2.06
47,Matt Schaub,ATL,QB,2,5,7,71.4,20,2.9,0,0,74.11,1,0,0,0,0.6,1.1
48,Joshua Dobbs,PIT,QB,3,1,1,100,22,22,0,0,118.75,2,-4,-2,0,0.2,0.48
49,Taylor Heinicke,CAR,QB,1,1,1,100,13,13,0,0,118.75,2,-2,-1,0,0.3,0.32
49,AJ McCarron,OAK,QB,1,1,3,33.3,8,2.7,0,0,42.36,1,0,0,0,0.3,0.32
51,Deshone Kizer,GB,QB,1,4,7,57.1,55,7.9,0,1,42.86,0,0,0,0,0.2,0.2
52,Sean Mannion,LAR,QB,1,0,0,0,0,0,0,0,0,3,1,0.3,0,0.1,0.1
53,Geno Smith,LAC,QB,2,1,1,100,8,8,0,0,100,3,-3,-1,0,0,0.02
54,Joe Webb,HOU,QB,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Cooper Rush,DAL,QB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Brandon Weeden,HOU,QB,1,0,0,0,0,0,0,0,0,1,-1,-1,0,-0.1,-0.1
56,Chad Kelly,DEN,QB,1,0,0,0,0,0,0,0,0,1,-1,-1,0,-0.1,-0.1
58,Teddy Bridgewater,NO,QB,2,0,0,0,0,0,0,0,0,3,-3,-1,0,-0.2,-0.3
59,Jacoby Brissett,IND,QB,2,0,1,0,0,0,0,0,39.58,4,-4,-1,0,-0.2,-0.4
60,Brian Hoyer,NE,QB,2,0,0,0,0,0,0,0,0,5,-5,-1,0,-0.2,-0.5
60,Chase Daniel,CHI,QB,3,0,0,0,0,0,0,0,0,5,-5,-1,0,-0.2,-0.5
