Rank,Name,Team,Position,Played,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Patrick Mahomes,KC,QB,11,264,391,67.5,3628,9.3,37,10,117.9,42,186,4.4,2,30.8,338.72
2,Ben Roethlisberger,PIT,QB,11,312,472,66.1,3664,7.8,24,12,95.87,24,94,3.9,3,25.8,283.86
3,Matt Ryan,ATL,QB,11,310,434,71.4,3683,8.5,24,5,110.6,22,97,4.4,2,25.6,282.02
4,Jared Goff,LAR,QB,11,258,381,67.7,3547,9.3,26,6,113.49,35,88,2.5,1,25.4,279.68
5,Drew Brees,NO,QB,11,272,356,76.4,3135,8.8,29,2,127.26,24,24,1,3,25.3,277.9
6,Andrew Luck,IND,QB,11,299,437,68.4,3112,7.1,32,11,102.69,23,66,2.9,0,24.3,267.48
7,Cam Newton,CAR,QB,11,250,359,69.6,2699,7.5,22,7,103.74,85,417,4.9,4,24.1,264.66
8,Kirk Cousins,MIN,QB,11,318,447,71.1,3289,7.4,22,7,101.91,34,103,3,1,22.3,244.76
9,Mitch Trubisky,CHI,QB,10,210,321,65.4,2469,7.7,20,9,97.73,51,363,7.1,3,24,240.06
10,Deshaun Watson,HOU,QB,11,220,333,66.1,2807,8.4,20,9,101.02,62,345,5.6,2,21.8,239.78
11,Philip Rivers,LAC,QB,11,239,344,69.5,3119,9.1,26,6,115.69,14,-1,-0.1,0,21.6,237.66
12,Aaron Rodgers,GB,QB,11,255,413,61.7,3271,7.9,20,1,101.67,29,148,5.1,0,21.1,232.64
13,Russell Wilson,SEA,QB,11,206,309,66.7,2531,8.2,25,5,111.99,41,231,5.6,0,20,220.24
14,Tom Brady,NE,QB,11,262,402,65.2,3031,7.5,19,7,96.31,20,27,1.4,2,19.4,213.54
15,Dak Prescott,DAL,QB,11,219,336,65.2,2427,7.2,13,5,93.19,58,279,4.8,5,18.2,199.98
16,Andy Dalton,CIN,QB,11,226,365,61.9,2566,7,21,11,89.59,16,99,6.2,0,17.4,191.54
17,Blake Bortles,JAX,QB,11,223,369,60.4,2572,7,13,10,81.94,50,325,6.5,1,17.4,191.38
18,Ryan Fitzpatrick,TB,QB,8,164,246,66.7,2366,9.6,17,12,100.42,36,152,4.2,2,23.9,190.84
19,Eli Manning,NYG,QB,11,277,401,69.1,3093,7.7,14,7,96.15,12,18,1.5,0,16.9,185.52
20,Matthew Stafford,DET,QB,11,272,406,67,2841,7,17,10,90.76,21,64,3,0,16.7,184.04
21,Carson Wentz,PHI,QB,9,230,330,69.7,2540,7.7,16,6,100.82,26,100,3.8,0,19.8,178
22,Derek Carr,OAK,QB,11,263,384,68.5,2827,7.4,13,8,92.44,18,43,2.4,1,15.9,174.38
23,Case Keenum,DEN,QB,11,244,390,62.6,2802,7.2,13,10,84.58,12,32,2.7,1,15.6,171.28
24,Baker Mayfield,CLE,QB,9,195,311,62.7,2242,7.2,17,7,93.21,25,107,4.3,0,18.5,166.38
25,Marcus Mariota,TEN,QB,10,168,239,70.3,1886,7.9,9,6,95.63,53,283,5.3,2,15.3,152.84
26,Joe Flacco,BAL,QB,9,232,379,61.2,2465,6.5,12,6,84.15,19,45,2.4,0,16.7,150.1
27,Alex Smith,WAS,QB,10,205,328,62.5,2180,6.6,10,5,85.67,41,168,4.1,1,14.7,147
28,Jameis Winston,TB,QB,6,137,202,67.8,1692,8.4,10,11,87.31,31,149,4.8,1,20.9,125.58
29,Sam Darnold,NYJ,QB,9,159,289,55,1934,6.7,11,14,68.32,30,61,2,1,13.5,121.46
30,Josh Allen,BUF,QB,7,83,158,52.5,992,6.3,3,5,65.16,48,254,5.3,4,13.6,95.08
31,Josh Rosen,ARI,QB,9,137,247,55.5,1521,6.2,10,11,68.9,13,46,3.5,0,10.5,94.44
32,Ryan Tannehill,MIA,QB,6,102,154,66.2,1176,7.6,10,5,97.21,22,105,4.8,0,14.9,89.54
33,CJ Beathard,SF,QB,6,102,169,60.4,1252,7.4,8,7,81.77,19,69,3.6,1,14.7,87.98
34,Brock Osweiler,MIA,QB,6,113,178,63.5,1247,7,6,4,86.05,8,21,2.6,0,12.7,75.98
35,Lamar Jackson,BAL,QB,11,34,56,60.7,415,7.4,2,3,73.14,65,329,5.1,2,6.3,69.5
36,Jimmy Garoppolo,SF,QB,3,53,89,59.6,718,8.1,5,3,90,8,33,4.1,0,17,51.02
37,Nick Mullens,SF,QB,3,61,93,65.6,733,7.9,5,4,89.58,8,-3,-0.4,0,15,45.02
38,Tyrod Taylor,CLE,QB,4,42,85,49.4,473,5.6,2,2,64.49,16,125,7.8,1,10.9,43.42
39,Jeff Driskel,CIN,QB,4,23,36,63.9,239,6.6,1,0,92.25,6,49,8.2,2,7.6,30.46
40,Colt McCoy,WAS,QB,2,30,50,60,322,6.4,3,3,73.92,10,63,6.3,0,14.1,28.18
41,Taysom Hill,NO,QB,11,3,6,50,64,10.7,0,0,88.19,32,174,5.4,1,2.5,27.06
42,Nick Foles,PHI,QB,2,54,82,65.9,451,5.5,1,1,78.86,4,7,1.8,0,13.1,26.24
43,Blaine Gabbert,TEN,QB,4,36,61,59,360,5.9,2,2,73.12,2,2,1,0,5.2,20.6
44,Josh McCown,NYJ,QB,2,43,79,54.4,411,5.2,1,3,57.52,4,29,7.2,0,10.2,20.34
