Rank,Name,Team,Position,Played,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Patrick Mahomes,KC,QB,8,187,285,65.6,2526,8.9,26,6,115.33,30,119,4,2,30.5,243.94
2,Andrew Luck,IND,QB,8,225,342,65.8,2187,6.4,23,8,96.22,16,63,3.9,0,24.1,192.78
3,Kirk Cousins,MIN,QB,8,241,341,70.7,2521,7.4,16,4,102.54,25,78,3.1,1,23.3,186.54
4,Matt Ryan,ATL,QB,7,187,263,71.1,2335,8.9,15,2,114.17,16,67,4.2,2,26.4,185.1
5,Jared Goff,LAR,QB,8,171,253,67.6,2425,9.6,17,5,112.51,25,62,2.5,0,22.8,182.2
6,Deshaun Watson,HOU,QB,8,168,261,64.4,2176,8.3,15,7,98.44,44,230,5.2,1,22.4,179.04
7,Cam Newton,CAR,QB,7,158,238,66.4,1646,6.9,13,4,97.43,62,309,5,4,25.1,175.74
8,Mitch Trubisky,CHI,QB,7,155,240,64.6,1814,7.6,15,6,97.81,37,296,8,2,25,175.16
9,Ben Roethlisberger,PIT,QB,7,194,297,65.3,2290,7.7,14,7,94.54,15,44,2.9,1,24,167.9
10,Tom Brady,NE,QB,8,199,295,67.5,2200,7.5,16,7,97.56,13,29,2.2,2,20.9,166.9
11,Drew Brees,NO,QB,7,188,243,77.4,1990,8.2,14,1,118.17,14,9,0.6,2,22.8,159.6
12,Aaron Rodgers,GB,QB,7,174,284,61.3,2283,8,13,1,100.43,18,116,6.4,0,22.7,158.92
13,Philip Rivers,LAC,QB,7,152,220,69.1,2008,9.1,17,3,117.77,11,-1,-0.1,0,22.6,158.22
14,Andy Dalton,CIN,QB,8,185,292,63.4,2102,7.2,17,8,92.87,11,41,3.7,0,19.3,154.18
15,Blake Bortles,JAX,QB,8,175,290,60.3,2021,7,10,8,81.41,40,261,6.5,1,18.9,150.94
